customer_id,gender,age,city,signup_date,income,loyalty_segment
CUST00001,Male,56,Mumbai,2021-01-08,794055.0,Regular
CUST00002,Male,46,Mumbai,2021-07-27,1352908.0,Regular
CUST00003,Male,32,Mumbai,2021-08-14,730624.0,Regular
CUST00004,Male,60,Mumbai,2022-10-05,574344.0,Regular
CUST00005,Male,25,Mumbai,2022-12-13,,Regular
CUST00006,Male,38,Mumbai,2022-11-05,,Regular
CUST00007,Male,56,Mumbai,2022-04-11,380889.0,Regular
CUST00008,Male,36,Mumbai,2022-05-17,495863.0,Regular
CUST00009,Male,40,Mumbai,2021-05-20,245704.0,Regular
CUST00010,Male,28,Mumbai,2023-08-05,1016445.0,Regular
CUST00011,Male,28,Mumbai,2021-07-15,542135.0,Regular
CUST00012,Male,41,Mumbai,2022-07-24,426884.0,Regular
CUST00013,Male,53,Mumbai,2023-03-24,1416424.0,Regular
CUST00014,Male,57,Mumbai,2021-09-16,1247640.0,Regular
CUST00015,Male,41,Mumbai,2023-08-02,1124159.0,Regular
CUST00016,Male,20,Mumbai,2023-07-01,943470.0,Regular
CUST00017,Male,39,Mumbai,2021-05-03,512067.0,Regular
CUST00018,Male,19,Mumbai,2022-02-01,278563.0,Regular
CUST00019,Male,41,Mumbai,2023-06-15,1338355.0,Regular
CUST00020,Male,61,Mumbai,2021-11-30,1137243.0,Regular
CUST00021,Male,47,Mumbai,2021-01-02,299704.0,Regular
CUST00022,Male,55,Mumbai,2022-05-27,,Regular
CUST00023,Male,19,Mumbai,2022-04-27,236491.0,Regular
CUST00024,Male,38,Mumbai,2021-03-23,950909.0,Regular
CUST00025,Male,50,Mumbai,2022-11-13,1104367.0,Regular
CUST00026,Male,29,Mumbai,2022-11-11,1122285.0,Regular
CUST00027,Male,39,Mumbai,2022-10-30,1269024.0,Regular
CUST00028,Male,61,Mumbai,2023-01-02,704393.0,Regular
CUST00029,Male,42,Mumbai,2022-05-19,483590.0,Regular
CUST00030,Male,44,Mumbai,2021-12-24,538723.0,Regular
CUST00031,Male,59,Mumbai,2022-06-10,,Regular
CUST00032,Male,45,Mumbai,2021-01-12,1101111.0,Regular
CUST00033,Male,33,Mumbai,2021-01-11,1334191.0,Regular
CUST00034,Male,32,Mumbai,2022-04-03,217101.0,Regular
CUST00035,Male,64,Mumbai,2023-02-12,1183682.0,Regular
CUST00036,Male,61,Mumbai,2023-05-22,490160.0,Regular
CUST00037,Male,20,Mumbai,2023-01-30,814769.0,Regular
CUST00038,Male,54,Mumbai,2023-04-18,777090.0,Regular
CUST00039,Male,24,Mumbai,2021-09-07,410005.0,Regular
CUST00040,Male,38,Mumbai,2022-03-10,246539.0,Regular
CUST00041,Male,26,Mumbai,2021-08-21,1172100.0,Regular
