transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,discount_percent,payment_mode,delivery_days,returned
TXN000001,CUST04835,PROD0883,2022-03-15,2,"₹35,143",16,UPI,2,No
TXN000002,CUST02792,PROD0907,2022-03-19,1,"₹27,217",27,UPI,0,No
TXN000003,CUST05424,PROD0738,2023-09-26,2,"₹13,363",1,UPI,0,No
TXN000004,CUST04213,PROD0127,2023-04-04,1,"₹2,258",39,UPI,10,No
TXN000005,CUST03984,PROD1140,2023-06-24,5,"₹41,453",36,UPI,3,No
TXN000006,CUST03769,PROD0924,2023-07-30,1,"₹29,751",31,UPI,10,No
TXN000007,CUST01505,PROD0171,2023-09-11,2,"₹24,755",26,UPI,-3,No
TXN000008,CUST02451,PROD0212,2022-08-17,3,"₹27,445",30,UPI,8,No
TXN000009,CUST03045,PROD0924,2023-05-20,4,"₹5,197",3,UPI,8,No
TXN000010,CUST02034,PROD0189,2022-07-19,1,"₹36,789",34,UPI,3,No
TXN000011,CUST01700,PROD0933,2023-01-15,3,"₹27,978",31,UPI,-3,No
TXN000012,CUST02281,PROD0387,2022-12-20,1,"₹18,373",10,UPI,1,No
TXN000013,CUST01308,PROD0777,2023-11-28,3,"₹31,688",22,UPI,5,No
TXN000014,CUST02528,PROD1012,2022-05-06,5,"₹13,138",22,UPI,6,No
TXN000015,CUST03839,PROD0726,2022-08-28,1,"₹34,877",38,UPI,9,No
TXN000016,CUST00976,PROD1154,2023-05-31,1,"₹32,733",34,UPI,-3,No
TXN000017,CUST02057,PROD0023,2023-02-05,3,"₹15,875",16,UPI,8,No
TXN000018,CUST04811,PROD0401,2023-11-27,1,"₹45,271",19,UPI,7,No
TXN000019,CUST02427,PROD0505,2023-03-22,1,"₹23,363",31,UPI,4,No
TXN000020,CUST03675,PROD0921,2022-06-05,1,"₹36,872",37,UPI,7,No
TXN000021,CUST02429,PROD0329,2023-11-10,2,"₹7,748",4,UPI,8,No
TXN000022,CUST04940,PROD0471,2023-06-09,1,"₹12,599",14,UPI,0,No
TXN000023,CUST03734,PROD0412,2022-10-04,2,"₹44,231",31,UPI,0,No
TXN000024,CUST00360,PROD0754,2023-05-29,2,"₹18,044",33,UPI,4,No
TXN000025,CUST02224,PROD0029,2023-04-21,3,"₹14,419",25,UPI,10,No
TXN000026,CUST00485,PROD0245,2022-10-17,5,"₹21,202",14,UPI,-3,No
TXN000027,CUST01429,PROD0938,2022-01-18,2,"₹39,489",8,UPI,0,No
TXN000028,CUST02081,PROD0826,2023-11-14,2,"₹47,887",4,UPI,10,No
TXN000029,CUST00696,PROD1084,2022-03-01,1,"₹41,150",33,UPI,3,No
TXN000030,CUST04661,PROD0139,2023-05-09,3,"₹19,900",32,UPI,4,No
TXN000031,CUST00202,PROD0357,2022-09-17,5,"₹29,186",20,UPI,10,No
TXN000032,CUST03858,PROD0212,2022-04-08,4,"₹11,439",2,UPI,3,No
TXN000033,CUST01199,PROD1163,2023-01-15,1,"₹38,768",29,UPI,1,No
TXN000034,CUST01268,PROD0486,2023-09-18,5,"₹11,455",4,UPI,4,No
TXN000035,CUST02971,PROD0178,2022-07-31,3,"₹8,035",23,UPI,7,No
TXN000036,CUST00074,PROD0513,2023-10-11,1,"₹9,864",15,UPI,2,No
TXN000037,CUST00096,PROD0113,2023-10-12,3,"₹5,337",5,UPI,1,No
TXN000038,CUST04269,PROD0283,2023-12-21,1,"₹13,743",39,UPI,8,No
TXN000039,CUST03478,PROD1140,2022-02-19,2,"₹21,590",34,UPI,5,No
TXN000040,CUST02203,PROD0544,2022-07-19,2,"₹26,341",25,UPI,6,No
TXN000041,CUST00258,PROD0041,2023-02-03,1,"₹14,182",0,UPI,9,No
TXN000042,CUST03659,PROD0932,2022-06-14,4,"₹35,595",19,UPI,6,No
TXN000043,CUST04426,PROD1191,2023-03-18,4,"₹47,315",10,UPI,8,No
TXN000044,CUST05351,PROD0855,2023-11-18,1,"₹36,643",19,UPI,7,No
TXN000045,CUST02807,PROD0926,2023-03-04,1,"₹24,554",38,UPI,9,No
TXN000046,CUST04257,PROD0313,2023-07-11,2,"₹44,058",3,UPI,5,No
TXN000047,CUST00186,PROD0471,2022-01-14,4,"₹19,469",37,UPI,4,No
TXN000048,CUST00143,PROD1155,2023-08-14,1,"₹18,227",29,UPI,3,No
TXN000049,CUST03354,PROD0048,2022-03-02,4,"₹33,964",35,UPI,3,No
TXN000050,CUST00640,PROD0134,2022-07-21,5,"₹36,419",21,UPI,8,No
TXN000051,CUST03750,PROD0519,2022-01-20,3,"₹14,449",39,UPI,-3,No
TXN000052,CUST02075,PROD0999,2023-04-24,1,"₹19,935",17,UPI,9,No
TXN000053,CUST03969,PROD0317,2022-03-28,1,"₹24,924",4,UPI,5,No
TXN000054,CUST00202,PROD0086,2023-06-19,1,"₹27,057",29,UPI,4,No
TXN000055,CUST03093,PROD1072,2023-01-27,1,"₹29,686",4,UPI,5,No
TXN000056,CUST03166,PROD1010,2023-03-12,4,"₹36,235",38,UPI,8,No
TXN000057,CUST03080,PROD0490,2022-01-03,1,"₹45,546",13,UPI,7,No
TXN000058,CUST04568,PROD0424,2023-02-07,1,"₹7,609",10,UPI,7,No
TXN000059,CUST02103,PROD0387,2022-01-03,2,"₹22,394",20,UPI,0,No
TXN000060,CUST00911,PROD0926,2023-02-16,5,"₹32,288",10,UPI,1,No
TXN000061,CUST01572,PROD0240,2023-11-10,1,"₹41,177",31,UPI,8,No
TXN000062,CUST05126,PROD0258,2023-05-08,4,"₹29,132",28,UPI,7,No
TXN000063,CUST03449,PROD0044,2022-08-17,3,"₹1,008",2,UPI,1,No
TXN000064,CUST05170,PROD1192,2023-05-24,3,"₹13,298",12,UPI,10,No
TXN000065,CUST02160,PROD0664,2022-10-21,5,"₹49,618",5,UPI,2,No
TXN000066,CUST04326,PROD1007,2023-06-07,1,"₹40,508",27,UPI,3,No
TXN000067,CUST02545,PROD0754,2023-01-25,2,"₹40,389",30,UPI,8,No
TXN000068,CUST01330,PROD0105,2022-10-27,3,"₹7,883",22,UPI,10,No
TXN000069,CUST03614,PROD0954,2022-02-26,5,"₹26,273",37,UPI,4,No
TXN000070,CUST00461,PROD0927,2023-03-08,1,"₹12,730",37,UPI,10,No
TXN000071,CUST00807,PROD0954,2022-06-04,2,"₹22,383",5,UPI,9,No
TXN000072,CUST03700,PROD0695,2022-01-23,1,"₹20,807",21,UPI,8,No
TXN000073,CUST02274,PROD0057,2022-08-20,4,"₹26,996",39,UPI,8,No
TXN000074,CUST00059,PROD0240,2023-07-03,5,"₹10,265",33,UPI,0,No
TXN000075,CUST05196,PROD0981,2023-01-22,2,"₹31,353",37,UPI,9,No
TXN000076,CUST02476,PROD0427,2022-09-22,1,"₹31,893",37,UPI,10,No
TXN000077,CUST04824,PROD0617,2022-02-12,1,"₹13,656",6,UPI,4,No
TXN000078,CUST01156,PROD0577,2022-12-16,3,"₹20,749",0,UPI,1,No
TXN000079,CUST00498,PROD1002,2023-05-26,1000,"₹14,047",31,UPI,5,No
TXN000080,CUST05006,PROD0140,2023-06-30,4,"₹31,255",21,UPI,7,No
TXN000081,CUST05425,PROD0062,2023-04-06,4,"₹26,287",39,UPI,3,No
TXN000082,CUST04326,PROD0152,2022-10-03,2,"₹14,083",2,UPI,6,No
TXN000083,CUST04429,PROD0130,2023-08-23,1000,"₹10,357",3,UPI,4,No
TXN000084,CUST03977,PROD0431,2022-06-17,4,"₹13,324",16,UPI,6,No
TXN000085,CUST01608,PROD0400,2022-12-15,2,"₹10,306",34,UPI,2,No
TXN000086,CUST00721,PROD0674,2022-02-08,3,"₹44,159",22,UPI,5,No
TXN000087,CUST01275,PROD0541,2022-07-12,2,"₹32,473",28,UPI,10,No
TXN000088,CUST03868,PROD0182,2022-05-28,3,"₹1,868",1,UPI,7,No
TXN000089,CUST00691,PROD1075,2022-05-20,1000,"₹11,330",5,UPI,10,No
